,columns,missing values count
0,Sensor - 1,1
1,Sensor - 2,3
2,Sensor - 3,13
3,Sensor - 4,13
4,Sensor - 5,13
5,Sensor - 6,13
6,Sensor - 7,13
7,Sensor - 8,8
8,Sensor - 9,2
9,Sensor - 10,2
10,Sensor - 11,2
11,Sensor - 12,2
12,Sensor - 13,2
13,Sensor - 14,3
14,Sensor - 15,3
15,Sensor - 16,3
16,Sensor - 17,3
17,Sensor - 18,3
18,Sensor - 19,3
19,Sensor - 20,0
20,Sensor - 21,0
21,Sensor - 22,1
22,Sensor - 23,1
23,Sensor - 24,1
24,Sensor - 25,1
25,Sensor - 26,1
26,Sensor - 27,1
27,Sensor - 28,1
28,Sensor - 29,1
29,Sensor - 30,1
30,Sensor - 31,1
31,Sensor - 32,1
32,Sensor - 33,0
33,Sensor - 34,0
34,Sensor - 35,0
35,Sensor - 36,0
36,Sensor - 37,0
37,Sensor - 38,0
38,Sensor - 39,0
39,Sensor - 40,0
40,Sensor - 41,14
41,Sensor - 42,14
42,Sensor - 43,0
43,Sensor - 44,0
44,Sensor - 45,0
45,Sensor - 46,0
46,Sensor - 47,0
47,Sensor - 48,0
48,Sensor - 49,0
49,Sensor - 50,0
50,Sensor - 51,0
51,Sensor - 52,0
52,Sensor - 53,0
53,Sensor - 54,1
54,Sensor - 55,1
55,Sensor - 56,1
56,Sensor - 57,1
57,Sensor - 58,1
58,Sensor - 59,1
59,Sensor - 60,5
60,Sensor - 61,5
61,Sensor - 62,5
62,Sensor - 63,5
63,Sensor - 64,5
64,Sensor - 65,5
65,Sensor - 66,5
66,Sensor - 67,5
67,Sensor - 68,5
68,Sensor - 69,5
69,Sensor - 70,5
70,Sensor - 71,5
71,Sensor - 72,5
72,Sensor - 73,530
73,Sensor - 74,530
74,Sensor - 75,5
75,Sensor - 76,24
76,Sensor - 77,24
77,Sensor - 78,24
78,Sensor - 79,24
79,Sensor - 80,24
80,Sensor - 81,24
81,Sensor - 82,24
82,Sensor - 83,24
83,Sensor - 84,1
84,Sensor - 85,2
85,Sensor - 86,611
86,Sensor - 87,0
87,Sensor - 88,0
88,Sensor - 89,0
89,Sensor - 90,51
90,Sensor - 91,51
91,Sensor - 92,5
92,Sensor - 93,2
93,Sensor - 94,2
94,Sensor - 95,5
95,Sensor - 96,5
96,Sensor - 97,5
97,Sensor - 98,5
98,Sensor - 99,5
99,Sensor - 100,5
100,Sensor - 101,5
101,Sensor - 102,5
102,Sensor - 103,5
103,Sensor - 104,2
104,Sensor - 105,2
105,Sensor - 106,5
106,Sensor - 107,5
107,Sensor - 108,5
108,Sensor - 109,5
109,Sensor - 110,288
110,Sensor - 111,288
111,Sensor - 112,288
112,Sensor - 113,557
113,Sensor - 114,0
114,Sensor - 115,0
115,Sensor - 116,0
116,Sensor - 117,0
117,Sensor - 118,0
118,Sensor - 119,24
119,Sensor - 120,0
120,Sensor - 121,0
121,Sensor - 122,3
122,Sensor - 123,3
123,Sensor - 124,3
124,Sensor - 125,3
125,Sensor - 126,3
126,Sensor - 127,3
127,Sensor - 128,3
128,Sensor - 129,3
129,Sensor - 130,3
130,Sensor - 131,3
131,Sensor - 132,3
132,Sensor - 133,3
133,Sensor - 134,3
134,Sensor - 135,3
135,Sensor - 136,0
136,Sensor - 137,1
137,Sensor - 138,3
138,Sensor - 139,13
139,Sensor - 140,13
140,Sensor - 141,13
141,Sensor - 142,13
142,Sensor - 143,13
143,Sensor - 144,8
144,Sensor - 145,2
145,Sensor - 146,2
146,Sensor - 147,2
147,Sensor - 148,2
148,Sensor - 149,2
149,Sensor - 150,3
150,Sensor - 151,3
151,Sensor - 152,3
152,Sensor - 153,3
153,Sensor - 154,3
154,Sensor - 155,3
155,Sensor - 156,0
156,Sensor - 157,0
157,Sensor - 158,771
158,Sensor - 159,771
159,Sensor - 160,1
160,Sensor - 161,1
161,Sensor - 162,1
162,Sensor - 163,1
163,Sensor - 164,1
164,Sensor - 165,1
165,Sensor - 166,1
166,Sensor - 167,1
167,Sensor - 168,1
168,Sensor - 169,1
169,Sensor - 170,1
170,Sensor - 171,0
171,Sensor - 172,0
172,Sensor - 173,0
173,Sensor - 174,0
174,Sensor - 175,0
175,Sensor - 176,0
176,Sensor - 177,0
177,Sensor - 178,0
178,Sensor - 179,14
179,Sensor - 180,0
180,Sensor - 181,0
181,Sensor - 182,0
182,Sensor - 183,0
183,Sensor - 184,0
184,Sensor - 185,0
185,Sensor - 186,0
186,Sensor - 187,0
187,Sensor - 188,0
188,Sensor - 189,0
189,Sensor - 190,0
190,Sensor - 191,1
191,Sensor - 192,1
192,Sensor - 193,1
193,Sensor - 194,1
194,Sensor - 195,1
195,Sensor - 196,1
196,Sensor - 197,5
197,Sensor - 198,5
198,Sensor - 199,5
199,Sensor - 200,5
200,Sensor - 201,5
201,Sensor - 202,5
202,Sensor - 203,5
203,Sensor - 204,5
204,Sensor - 205,5
205,Sensor - 206,5
206,Sensor - 207,5
207,Sensor - 208,5
208,Sensor - 209,5
209,Sensor - 210,5
210,Sensor - 211,24
211,Sensor - 212,24
212,Sensor - 213,24
213,Sensor - 214,24
214,Sensor - 215,24
215,Sensor - 216,24
216,Sensor - 217,24
217,Sensor - 218,24
218,Sensor - 219,1
219,Sensor - 220,2
220,Sensor - 221,611
221,Sensor - 222,0
222,Sensor - 223,0
223,Sensor - 224,0
224,Sensor - 225,51
225,Sensor - 226,51
226,Sensor - 227,5
227,Sensor - 228,2
228,Sensor - 229,2
229,Sensor - 230,5
230,Sensor - 231,5
231,Sensor - 232,5
232,Sensor - 233,5
233,Sensor - 234,5
234,Sensor - 235,5
235,Sensor - 236,5
236,Sensor - 237,5
237,Sensor - 238,5
238,Sensor - 239,2
239,Sensor - 240,2
240,Sensor - 241,5
241,Sensor - 242,5
242,Sensor - 243,5
243,Sensor - 244,5
244,Sensor - 245,288
245,Sensor - 246,288
246,Sensor - 247,288
247,Sensor - 248,557
248,Sensor - 249,0
249,Sensor - 250,0
250,Sensor - 251,0
251,Sensor - 252,0
252,Sensor - 253,0
253,Sensor - 254,24
254,Sensor - 255,0
255,Sensor - 256,0
256,Sensor - 257,3
257,Sensor - 258,3
258,Sensor - 259,3
259,Sensor - 260,3
260,Sensor - 261,3
261,Sensor - 262,3
262,Sensor - 263,3
263,Sensor - 264,3
264,Sensor - 265,3
265,Sensor - 266,3
266,Sensor - 267,3
267,Sensor - 268,3
268,Sensor - 269,3
269,Sensor - 270,3
270,Sensor - 271,0
271,Sensor - 272,1
272,Sensor - 273,3
273,Sensor - 274,13
274,Sensor - 275,13
275,Sensor - 276,13
276,Sensor - 277,13
277,Sensor - 278,13
278,Sensor - 279,8
279,Sensor - 280,2
280,Sensor - 281,2
281,Sensor - 282,2
282,Sensor - 283,2
283,Sensor - 284,2
284,Sensor - 285,3
285,Sensor - 286,3
286,Sensor - 287,3
287,Sensor - 288,3
288,Sensor - 289,3
289,Sensor - 290,3
290,Sensor - 291,0
291,Sensor - 292,0
292,Sensor - 293,771
293,Sensor - 294,771
294,Sensor - 295,1
295,Sensor - 296,1
296,Sensor - 297,1
297,Sensor - 298,1
298,Sensor - 299,1
299,Sensor - 300,1
300,Sensor - 301,1
301,Sensor - 302,1
302,Sensor - 303,1
303,Sensor - 304,1
304,Sensor - 305,1
305,Sensor - 306,0
306,Sensor - 307,0
307,Sensor - 308,0
308,Sensor - 309,0
309,Sensor - 310,0
310,Sensor - 311,0
311,Sensor - 312,0
312,Sensor - 313,0
313,Sensor - 314,14
314,Sensor - 315,14
315,Sensor - 316,0
316,Sensor - 317,0
317,Sensor - 318,0
318,Sensor - 319,0
319,Sensor - 320,0
320,Sensor - 321,0
321,Sensor - 322,0
322,Sensor - 323,0
323,Sensor - 324,0
324,Sensor - 325,0
325,Sensor - 326,0
326,Sensor - 327,1
327,Sensor - 328,1
328,Sensor - 329,1
329,Sensor - 330,1
330,Sensor - 331,1
331,Sensor - 332,1
332,Sensor - 333,5
333,Sensor - 334,5
334,Sensor - 335,5
335,Sensor - 336,5
336,Sensor - 337,5
337,Sensor - 338,5
338,Sensor - 339,5
339,Sensor - 340,5
340,Sensor - 341,5
341,Sensor - 342,5
342,Sensor - 343,5
343,Sensor - 344,5
344,Sensor - 345,5
345,Sensor - 346,530
346,Sensor - 347,530
347,Sensor - 348,5
348,Sensor - 349,24
349,Sensor - 350,24
350,Sensor - 351,24
351,Sensor - 352,24
352,Sensor - 353,24
353,Sensor - 354,24
354,Sensor - 355,24
355,Sensor - 356,24
356,Sensor - 357,1
357,Sensor - 358,2
358,Sensor - 359,611
359,Sensor - 360,0
360,Sensor - 361,0
361,Sensor - 362,0
362,Sensor - 363,51
363,Sensor - 364,51
364,Sensor - 365,5
365,Sensor - 366,2
366,Sensor - 367,2
367,Sensor - 368,5
368,Sensor - 369,5
369,Sensor - 370,5
370,Sensor - 371,5
371,Sensor - 372,5
372,Sensor - 373,5
373,Sensor - 374,5
374,Sensor - 375,5
375,Sensor - 376,5
376,Sensor - 377,2
377,Sensor - 378,2
378,Sensor - 379,5
379,Sensor - 380,5
380,Sensor - 381,5
381,Sensor - 382,5
382,Sensor - 383,288
383,Sensor - 384,288
384,Sensor - 385,288
385,Sensor - 386,557
386,Sensor - 387,0
387,Sensor - 388,0
388,Sensor - 389,0
389,Sensor - 390,0
390,Sensor - 391,0
391,Sensor - 392,24
392,Sensor - 393,0
393,Sensor - 394,0
394,Sensor - 395,3
395,Sensor - 396,3
396,Sensor - 397,3
397,Sensor - 398,3
398,Sensor - 399,3
399,Sensor - 400,3
400,Sensor - 401,3
401,Sensor - 402,3
402,Sensor - 403,3
403,Sensor - 404,3
404,Sensor - 405,3
405,Sensor - 406,3
406,Sensor - 407,3
407,Sensor - 408,3
408,Sensor - 409,0
409,Sensor - 410,1
410,Sensor - 411,3
411,Sensor - 412,13
412,Sensor - 413,13
413,Sensor - 414,13
414,Sensor - 415,13
415,Sensor - 416,13
416,Sensor - 417,8
417,Sensor - 418,2
418,Sensor - 419,2
419,Sensor - 420,2
420,Sensor - 421,2
421,Sensor - 422,2
422,Sensor - 423,3
423,Sensor - 424,3
424,Sensor - 425,3
425,Sensor - 426,3
426,Sensor - 427,3
427,Sensor - 428,3
428,Sensor - 429,0
429,Sensor - 430,0
430,Sensor - 431,1
431,Sensor - 432,1
432,Sensor - 433,1
433,Sensor - 434,1
434,Sensor - 435,1
435,Sensor - 436,1
436,Sensor - 437,1
437,Sensor - 438,1
438,Sensor - 439,1
439,Sensor - 440,1
440,Sensor - 441,1
441,Sensor - 442,0
442,Sensor - 443,0
443,Sensor - 444,0
444,Sensor - 445,0
445,Sensor - 446,0
446,Sensor - 447,0
447,Sensor - 448,0
448,Sensor - 449,0
449,Sensor - 450,14
450,Sensor - 451,14
451,Sensor - 452,0
452,Sensor - 453,0
453,Sensor - 454,0
454,Sensor - 455,0
455,Sensor - 456,0
456,Sensor - 457,0
457,Sensor - 458,0
458,Sensor - 459,0
459,Sensor - 460,0
460,Sensor - 461,0
461,Sensor - 462,0
462,Sensor - 463,1
463,Sensor - 464,1
464,Sensor - 465,1
465,Sensor - 466,1
466,Sensor - 467,1
467,Sensor - 468,1
468,Sensor - 469,5
469,Sensor - 470,5
470,Sensor - 471,5
471,Sensor - 472,5
472,Sensor - 473,5
473,Sensor - 474,5
474,Sensor - 475,5
475,Sensor - 476,5
476,Sensor - 477,5
477,Sensor - 478,5
478,Sensor - 479,5
479,Sensor - 480,5
480,Sensor - 481,5
481,Sensor - 482,5
482,Sensor - 483,24
483,Sensor - 484,24
484,Sensor - 485,24
485,Sensor - 486,24
486,Sensor - 487,24
487,Sensor - 488,24
488,Sensor - 489,24
489,Sensor - 490,24
490,Sensor - 491,1
491,Sensor - 492,2
492,Sensor - 493,611
493,Sensor - 494,0
494,Sensor - 495,0
495,Sensor - 496,0
496,Sensor - 497,51
497,Sensor - 498,51
498,Sensor - 499,5
499,Sensor - 500,2
500,Sensor - 501,2
501,Sensor - 502,5
502,Sensor - 503,5
503,Sensor - 504,5
504,Sensor - 505,5
505,Sensor - 506,5
506,Sensor - 507,5
507,Sensor - 508,5
508,Sensor - 509,5
509,Sensor - 510,5
510,Sensor - 511,2
511,Sensor - 512,2
512,Sensor - 513,5
513,Sensor - 514,5
514,Sensor - 515,5
515,Sensor - 516,5
516,Sensor - 517,288
517,Sensor - 518,288
518,Sensor - 519,288
519,Sensor - 520,557
520,Sensor - 521,0
521,Sensor - 522,0
522,Sensor - 523,0
523,Sensor - 524,0
524,Sensor - 525,0
525,Sensor - 526,24
526,Sensor - 527,0
527,Sensor - 528,0
528,Sensor - 529,3
529,Sensor - 530,3
530,Sensor - 531,3
531,Sensor - 532,3
532,Sensor - 533,3
533,Sensor - 534,3
534,Sensor - 535,3
535,Sensor - 536,3
536,Sensor - 537,3
537,Sensor - 538,3
538,Sensor - 539,3
539,Sensor - 540,3
540,Sensor - 541,3
541,Sensor - 542,3
542,Sensor - 543,2
543,Sensor - 544,2
544,Sensor - 545,2
545,Sensor - 546,2
546,Sensor - 547,73
547,Sensor - 548,73
548,Sensor - 549,73
549,Sensor - 550,73
550,Sensor - 551,73
551,Sensor - 552,73
552,Sensor - 553,73
553,Sensor - 554,73
554,Sensor - 555,73
555,Sensor - 556,73
556,Sensor - 557,73
557,Sensor - 558,73
558,Sensor - 559,0
559,Sensor - 560,0
560,Sensor - 561,0
561,Sensor - 562,0
562,Sensor - 563,15
563,Sensor - 564,15
564,Sensor - 565,15
565,Sensor - 566,15
566,Sensor - 567,15
567,Sensor - 568,15
568,Sensor - 569,15
569,Sensor - 570,15
570,Sensor - 571,0
571,Sensor - 572,0
572,Sensor - 573,0
573,Sensor - 574,0
574,Sensor - 575,0
575,Sensor - 576,0
576,Sensor - 577,0
577,Sensor - 578,0
578,Sensor - 579,502
579,Sensor - 580,502
580,Sensor - 581,502
581,Sensor - 582,502
582,Sensor - 583,0
583,Sensor - 584,0
584,Sensor - 585,0
585,Sensor - 586,0
586,Sensor - 587,0
587,Sensor - 588,0
588,Sensor - 589,0
589,Sensor - 590,0
